FanGraph ID,Player,CBLCard,CBLPos,CBL5Percent
14412,"Hudson, Joe",NYN,CA,NC
20242,"Smith, Kevin",NYA,DH,NC
21497,"Baker, Luken",SLN,DH,NC
23250,"Banuelos, David",BAA,DH,NC
18395,"Blankenhorn, Travis",WAN,DH,NC
17838,"Calhoun, Willie",LAA,DH,240
19983,"Capel, Conner",CIN,DH,NC
8090,"Carpenter, Matt",SLN,DH,143
15585,"Ford, Mike",CIN,DH,63
27501,"Foscue, Justin",TEA,DH,NC
19273,"Garrett, Stone",WAN,DH,NC
5254,"Grossman, Robbie",KCA/TEA/CHA,DH,218
25705,"Harris, Dustin",TEA,DH,NC
17484,"Jimenez, Eloy",BAA/CHA,DH,340
18872,"Jones, Jahmai",NYA,DH,NC
29782,"Kavadas, Niko",LAA,DH,97
12005,"Martini, Nick",CIN,DH,153
27845,"Mervis, Matt",CHN,DH,NC
14387,"Ramirez, Harold",WAN/TBA,DH,249
4949,"Stanton, Giancarlo",NYA,DH,437
23359,"Velazquez, Nelson",KCA,DH,215
14130,"Vogelbach, Daniel",TOA,DH,73
19931,"Williams, Luke",ATN,DH,48
27698,"Yang, Eric",CIN,DH,NC
19864,"Adams, Riley",WAN,CA,121
12158,"Barnes, Austin",LAN,CA,147
10200,"Barnhart, Tucker",ARN,CA,85
10028,"Bethancourt, Christian",CHN/MMN,CA,145
10655,"Brantly, Rob",TBA,CA,NC
21730,"Camargo, Jair",MNA,CA,NC
14968,"Caratini, Victor",HOA,CA,257
12510,"Casali, Curt",SFN,CA,113
29617,"Davis, Henry",PIN,CA,109
29554,"Del Castillo, Adrian",ARN,CA,84
19806,"Delay, Jason",PIN,CA,NC
27464,"Dingler, Dillon",DEA,CA,88
25475,"Driscoll, Logan",TBA,CA,NC
23372,"Feduccia, Hunter",LAN,CA,NC
21538,"Fortes, Nick",MMN,CA,323
16925,"Garcia, Aramis",PHN,CA,NC
9627,"Gomes, Yan",CHN,CA,95
11368,"Grandal, Yasmani",PIN,CA,225
14111,"Haase, Eric",MLN,CA,69
12976,"Hedges, Austin",CLA,CA,138
13897,"Heineman, Tyler",TOA/BOA,CA,NC
17040,"Herrera, Jose",ARN,CA,101
22209,"Huff, Sam",TEA,CA,NC
17276,"Jackson, Alex",TBA,CA,145
16535,"Jansen, Danny",BOA/TOA,CA,291
14942,"Knapp, Andrew",SFN,CA,NC
19514,"Knizner, Andrew",TEA,CA,94
22045,"Koch, Grant",PIN,CA,NC
13355,"Maile, Luke",CIN,CA,141
6887,"Maldonado, Martin",CHA,CA,141
21646,"Marchan, Rafael",PHN,CA,53
25575,"McCann, Kyle",OAA,CA,147
15674,"McGuire, Reese",BOA,CA,145
25643,"Millas, Drew",WAN,CA,59
13499,"Murphy, Tom",SFN,CA,NC
19722,"Narvaez, Carlos",NYA,CA,NC
13338,"Narvaez, Omar",NYN,CA,68
13755,"Nido, Tomas",CHN/NYN,CA,136
25782,"Pages, Pedro",SLN,CA,212
19802,"Pereda, Jhonny",MMN,CA,NC
19859,"Pinto, Rene",TBA,CA,NC
17837,"Reetz, Jakson",SFN,CA,NC
19824,"Robinson, Chuckie",CHA,CA,73
19452,"Rogers, Jake",DEA,CA,325
20287,"Rortvedt, Ben",TBA,CA,304
25805,"Sabol, Blake",SFN,CA,NC
21587,"Salazar, Cesar",HOA,CA,NC
18551,"Sanchez, Ali",MMN,CA,88
11442,"Sanchez, Gary",MLN,CA,257
19422,"Serven, Brian",TOA,CA,66
18217,"Sullivan, Brett",SDN,CA/1B,NC
19318,"Thaiss, Matt",LAA,CA,164
15905,"Torrens, Luis",NYN,CA,123
16725,"Trevino, Jose",NYA,CA,219
16953,"Tromp, Chadwick",ATN,CA,54
9774,"Vazquez, Christian",MNA,CA,308
15271,"Wynns, Austin",CIN,CA,NC
18887,"Zavala, Seby",SEA,CA,NC
15676,"Abreu, Jose",HOA,1B,118
20157,"Batten, Matthew",SDN,1B,NC
15194,"Bauers, Jake",MLN,1B,317
13145,"Bell, Josh",ARN/MMN,1B,564
29949,"Black, Tyler",MLN,1B,51
24703,"Bride, Jonah",MMN,1B,243
19384,"Brooks, Trenton",SFN,1B,NC
21797,"Chaparro, Andres",WAN,1B,127
20572,"Clemens, Kody",PHN,1B/3B,119
29573,"Cook, Billy",PIN,1B/CF/RF,51
15279,"Cooper, Garrett",BOA/CHN,1B,112
19966,"Dalbec, Bobby",BOA,1B/3B,87
16219,"Davis, J.D.",NYA/OAA,1B/3B,149
20540,"Devers, Jose",MMN,1B/2B,NC
31562,"Dezenzo, Zach",HOA,1B,65
5827,"Flores, Wilmer",SFN,1B,224
17982,"France, Ty",CIN/SEA,1B,502
14128,"Gallo, Joey",WAN,1B,234
19877,"Gray, Tristan",OAA/MMN,1B/3B,NC
19198,"Gurriel, Yuli",KCA,1B,56
26477,"Horwitz, Spencer",TOA,1B/2B,344
16572,"Joe, Connor",PIN,1B/RF,382
9874,"LeMahieu, DJ",NYA,1B/3B,211
31396,"Locklear, Tyler",SEA,1B,47
20054,"Madris, Bligh",DEA,1B,70
14366,"Meneses, Joey",WAN,1B,295
24655,"Miller, Owen",MLN,1B,NC
20543,"Montero, Elehuris",CON,1B,235
17893,"Nevin, Tyler",OAA,1B/3B,257
23312,"Noda, Ryan",OAA,1B,99
18316,"Rios, Edwin",CIN,1B,NC
25425,"Shenton, Austin",TBA,1B,NC
10441,"Singleton, Jon",HOA,1B,372
15653,"Smith, Dominic",CIN/BOA,1B,288
19892,"Smith, Pavin",ARN,1B/RF/LF,143
15679,"Tellez, Rowdy",PIN,1B,402
24782,"Villar, David",SFN,1B,NC
16686,"Vosler, Jason",SEA,1B,NC
18607,"Walsh, Jared",TEA,1B,55
13602,"Wisdom, Patrick",CHN,1B,165
18400,"Yepez, Juan",WAN,1B,237
31765,"Alvarez Jr, Nacho",ATN,2B,NC
16959,"Alvarez, Eddy",NYN,2B,NC
27962,"Amador, Adael",CON,2B,NC
29912,"Baker, Darren",WAN,2B,NC
19252,"Biggio, Cavan",ATN/LAN/TOA,2B,197
29547,"Bliss, Ryan",SEA,2B,66
20536,"Brujan, Vidal",MMN,2B/SS,260
16426,"Estrada, Thairo",SFN,2B,382
14813,"Farmer, Kyle",MNA,2B/3B,225
17992,"Fletcher, David",ATN,2B,NC
15223,"Frazier, Adam",KCA,2B/RF,275
24759,"Gasper, Mickey",BOA,2B,NC
26031,"Grissom, Vaughn",BOA,2B,110
16451,"Guillorme, Luis",ARN/LAA/ATN,2B,169
20003,"Hiura, Keston",LAA,2B,NC
18819,"Ibanez, Andy",DEA,2B,235
14894,"Kemp, Tony",BAA,2B,NC
22505,"Kennedy, Buddy",PHN/DEA,2B/3B,NC
27630,"Loftin, Nick",KCA,2B/3B,155
13663,"Lopez, Jack",LAA,2B/SS,70
19608,"Lopez, Otto",MMN,2B,423
25616,"Luciano, Marco",SFN,2B/SS,79
25967,"Martinez, Orelvis",TOA,2B,NC
17273,"Mateo, Jorge",BAA,2B,201
23986,"Mead, Curtis",TBA,2B/3B,128
11281,"Merrifield, Whit",ATN/PHN,2B/LF,307
24589,"Palacios, Richie",TBA,2B/RF,277
19788,"Remillard, Zach",CHA,2B,NC
15518,"Rosario, Amed",CIN/LAN/TBA,2B/RF,348
27577,"Schmitt, Casey",SFN,2B/SS,112
25524,"Schunk, Aaron",CON,2B/3B,98
25483,"Sogard, Nick",BOA,2B/SS,80
22471,"Soto, Livan",BAA/CIN,2B/3B,NC
25353,"Stefanic, Michael",LAA,2B,115
20056,"Trejo, Alan",CON,2B/3B,66
21716,"Valdez, Enmanuel",BOA,2B,211
19314,"Walton, Donovan",SFN,2B,NC
13853,"Wendle, Joey",NYN,2B/3B,NC
15504,"Westbrook, Jamie",BOA,2B,NC
27604,"Williams, Alika",PIN,2B/SS,91
27735,"Wisely, Brett",SFN,2B/SS,264
27504,"Yorke, Nick",PIN,2B,NC
8418,"Adrianza, Ehire",LAA,3B/2B,NC
20557,"Alexander, CJ",KCA,3B,NC
19292,"Alvarez, Armando",OAA,3B/1B,NC
22563,"Arias, Gabriel",CLA,3B/SS,160
24598,"Barger, Addison",TOA,3B/RF,218
12037,"Berti, Jon",NYA,3B,69
14593,"Bote, David",CHN,3B,48
25040,"Capra, Vinny",MLN,3B/SS,NC
19906,"Castillo, Diego",MNA,3B,NC
21682,"De Los Santos, Luis",TOA,3B,NC
13836,"Duffy, Matt",TEA,3B,NC
26295,"Dunn, Oliver",MLN,3B,99
23733,"Duran, Ezequiel",TEA,3B,281
19997,"Espinal, Santiago",CIN,3B/2B,374
21746,"Fermin, Jose",SLN,3B,74
29788,"Harris, Brett",OAA,3B,108
10472,"Hernandez, Enrique",LAN,3B,380
25813,"Kessinger, Grae",HOA,3B/2B,NC
19813,"Leblanc, Charles",LAA,3B/2B,NC
31567,"Lipscomb, Trey",WAN,3B,199
20521,"Madrigal, Nick",CHN,3B/2B,90
20017,"Mastrobuoni, Miles",CHN,3B,102
21635,"Maton, Nick",BAA,3B,NC
18889,"Mendick, Danny",CHA,3B/2B,138
19455,"Monasterio, Andruw",MLN,3B/2B,131
17232,"Moncada, Yoan",CHA,3B,NC
29592,"Norby, Connor",MMN/BAA,3B/2B,186
24597,"Ornelas, Jonathan",TEA,3B/SS,NC
31363,"Pauley, Graham",SDN,3B,NC
22823,"Peraza, Oswald",NYA,3B,NC
25621,"Ramos, Bryan",CHA,3B,103
12861,"Rendon, Anthony",LAA,3B,216
16357,"Reyes, Pablo",NYN/BOA,3B/2B,63
19890,"Rivera, Emmanuel",BAA/MMN,3B,278
19734,"Rojas, Josh",SEA,3B,443
19964,"Rosario, Eguy",SDN,3B,55
12164,"Sano, Miguel",LAA,3B,87
19293,"Senzel, Nick",CHA/WAN,3B,247
19562,"Short, Zack",ATN/BOA/NYN,3B/SS,73
19844,"Toro, Abraham",OAA,3B,353
17326,"Tucker, Cole",LAA,3B/LF,52
16622,"Urias, Luis",SEA,3B,98
13324,"Vargas, Ildemaro",WAN,3B/2B,285
15730,"Wade, Tyler",SDN,3B,144
23395,"Wagaman, Eric",LAA,3B,75
26469,"Wendzel, Davis",TEA,3B,49
27789,"Whitcomb, Shay",HOA,3B,NC
12147,"Ahmed, Nick",SDN/LAN/SFN,SS,220
23789,"Alexander, Blaze",ARN,SS/2B,174
22277,"Allen, Nick",OAA,SS,101
23296,"Amaya, Jacob",CHA/HOA,SS,71
15172,"Anderson, Tim",MMN,SS,245
13185,"Arcia, Orlando",ATN,SS,578
12979,"Baez, Javier",DEA,SS,285
5343,"Crawford, Brandon",SLN,SS,74
18015,"DeJong, Paul",KCA/CHA,SS/3B,467
15937,"Diaz, Aledmys",HOA/OAA,SS/1B,NC
23782,"Jimenez, Leo",TOA,SS/2B,187
25867,"Kreidler, Ryan",DEA,SS,61
22232,"McCoy, Mason",SDN,SS,51
19392,"McKinstry, Zach",DEA,SS/3B,311
17696,"Newman, Kevin",ARN,SS/2B,302
25979,"Nunez, Nasim",WAN,SS,64
24273,"Peguero, Liover",PIN,SS,NC
12325,"Peterson, Jace",ARN,SS/2B,NC
21009,"Rivas, Leo",SEA,SS/2B,76
23690,"Rocchio, Brayan",CLA,SS,402
25180,"Schneemann, Daniel",CLA,SS,202
25817,"Shewmake, Braden",CHA,SS/3B,67
23442,"Vazquez, Luis",CHN,SS/3B,NC
22458,"Walls, Taylor",TBA,SS,228
18821,"Azocar, Jose",SDN,LF,76
22168,"Baddoo, Akil",DEA,LF,76
21853,"Benson, Will",CIN,LF/RF/CF,360
19779,"Blanco, Dairon",KCA,LF,126
18171,"Brown, Seth",OAA,LF/1B/RF,390
18353,"Cameron, Daz",OAA,LF/RF,178
22842,"Canario, Alexander",CHN,LF/RF,NC
28806,"Chourio, Jackson",MLN,LF/RF,554
26599,"Clase, Jonatan",TOA/SEA,LF/CF,64
25477,"Collins, Isaac",MLN,LF,NC
13744,"Dahl, David",PHN,LF,60
29487,"Dunn, Blake",CIN,LF,NC
10950,"Duvall, Adam",ATN,LF/RF,318
27543,"Ellis, Duke",NYA/CHA,LF,NC
19910,"Fabian, Sandro",TEA,LF/RF,NC
19151,"Florial, Estevan",CLA,LF/RF,102
12092,"Goodrum, Niko",LAA/TBA,LF,NC
16337,"Gordon, Nick",MMN,LF,273
19238,"Gurriel, Lourdes",ARN,LF,538
18054,"Haggerty, Sam",SEA,LF,NC
19363,"Hays, Austin",PHN/BAA,LF,246
17954,"Hilliard, Sam",CON,LF/CF,144
19458,"Hummel, Cooper",HOA,LF,NC
27599,"Hurtubise, Jacob",CIN,LF,56
25138,"Jordan, Levi",CIN,LF/RF,NC
20325,"Kirilloff, Alex",MNA,LF,166
33333,"Langford, Wyatt",TEA,LF,523
21496,"Lockridge, Brandon",SDN,LF,NC
29630,"Loperfido, Joey",TOA/HOA,LF,255
18123,"Lukes, Nathan",TOA,LF/RF,79
29606,"Malloy, Justyn-Henry",DEA,LF,212
14712,"Margot, Manuel",MNA,LF/RF,330
24451,"Martinez, J.P.",ATN,LF/RF,NC
19599,"McCormick, Chas",HOA,LF/RF,254
15654,"McKinney, Billy",PIN,LF/RF,NC
26374,"Misner, Kameron",TBA,LF/CF,NC
12155,"Rosario, Eddie",ATN/WAN,LF/RF,311
21780,"Ruiz, Esteury",OAA,LF/CF,57
23565,"Schneider, Davis",TOA,LF/2B,416
13757,"Taylor, Chris",LAN,LF/3B,223
