FanGraph ID,Player,CBLCard,CBLPos,CBL5Percent
17838,"Calhoun, Willie",LAA,DH,240
8090,"Carpenter, Matt",SLN,DH,143
15585,"Ford, Mike",CIN,DH,63
5254,"Grossman, Robbie",KCA,DH,218
17484,"Jimenez, Eloy",BAA,DH,340
29782,"Kavadas, Niko",LAA,DH,97
12005,"Martini, Nick",CIN,DH,153
23359,"Velazquez, Nelson",KCA,DH,215
14130,"Vogelbach, Daniel",TOA,DH,73
19931,"Williams, Luke",ATN,DH,48
19864,"Adams, Riley",WAN,CA,121
12158,"Barnes, Austin",LAN,CA,147
10200,"Barnhart, Tucker",ARN,CA,85
10028,"Bethancourt, Christian",CHN,CA,145
12510,"Casali, Curt",SFN,CA,113
9627,"Gomes, Yan",CHN,CA,95
11368,"Grandal, Yasmani",PIN,CA,225
14111,"Haase, Eric",MLN,CA,69
12976,"Hedges, Austin",CLA,CA,138
17040,"Herrera, Jose",ARN,CA,101
17276,"Jackson, Alex",TBA,CA,145
19514,"Knizner, Andrew",TEA,CA,94
13355,"Maile, Luke",CIN,CA,141
6887,"Maldonado, Martin",CHA,CA,141
25575,"McCann, Kyle",OAA,CA,147
15674,"McGuire, Reese",BOA,CA,145
25643,"Millas, Drew",WAN,CA,59
13338,"Narvaez, Omar",NYN,CA,68
13755,"Nido, Tomas",CHN,CA,136
19824,"Robinson, Chuckie",CHA,CA,73
18551,"Sanchez, Ali",MMN,CA,88
19422,"Serven, Brian",TOA,CA,66
15905,"Torrens, Luis",NYN,CA,123
16953,"Tromp, Chadwick",ATN,CA,54
15676,"Abreu, Jose",HOA,1B,118
29949,"Black, Tyler",MLN,1B,51
21797,"Chaparro, Andres",WAN,1B,127
20572,"Clemens, Kody",PHN,1B/3B,119
29573,"Cook, Billy",PIN,1B/CF/RF,51
15279,"Cooper, Garrett",BOA,1B,112
19966,"Dalbec, Bobby",BOA,1B/3B,87
16219,"Davis, J.D.",NYA,1B/3B,149
31562,"Dezenzo, Zach",HOA,1B,65
5827,"Flores, Wilmer",SFN,1B,224
19198,"Gurriel, Yuli",KCA,1B,56
9874,"LeMahieu, DJ",NYA,1B/3B,211
31396,"Locklear, Tyler",SEA,1B,47
20054,"Madris, Bligh",DEA,1B,70
14366,"Meneses, Joey",WAN,1B,295
20543,"Montero, Elehuris",CON,1B,235
17893,"Nevin, Tyler",OAA,1B/3B,257
23312,"Noda, Ryan",OAA,1B,99
15653,"Smith, Dominic",CIN,1B,288
15679,"Tellez, Rowdy",PIN,1B,402
18607,"Walsh, Jared",TEA,1B,55
13602,"Wisdom, Patrick",CHN,1B,165
19252,"Biggio, Cavan",ATN,2B,197
29547,"Bliss, Ryan",SEA,2B,66
15223,"Frazier, Adam",KCA,2B/RF,275
26031,"Grissom, Vaughn",BOA,2B,110
16451,"Guillorme, Luis",ARN,2B,169
27630,"Loftin, Nick",KCA,2B/3B,155
13663,"Lopez, Jack",LAA,2B/SS,70
25616,"Luciano, Marco",SFN,2B/SS,79
25524,"Schunk, Aaron",CON,2B/3B,98
25483,"Sogard, Nick",BOA,2B/SS,80
25353,"Stefanic, Michael",LAA,2B,115
20056,"Trejo, Alan",CON,2B/3B,66
21716,"Valdez, Enmanuel",BOA,2B,211
27604,"Williams, Alika",PIN,2B/SS,91
24598,"Barger, Addison",TOA,3B/RF,218
12037,"Berti, Jon",NYA,3B,69
14593,"Bote, David",CHN,3B,48
26295,"Dunn, Oliver",MLN,3B,99
21746,"Fermin, Jose",SLN,3B,74
29788,"Harris, Brett",OAA,3B,108
20521,"Madrigal, Nick",CHN,3B/2B,90
20017,"Mastrobuoni, Miles",CHN,3B,102
18889,"Mendick, Danny",CHA,3B/2B,138
