FanGraph ID,Player,CBLCard,CBLPos,CBL5Percent
26440,Ryan Gusto,HOA/MMN,SP/RP,106.6666667
19666,Jason Alexander,OAA/HOA,SP/RP,81
30113,Chad Patrick,MLN,SP/RP,125.3333333
23301,Janson Junk,MMN,SP/RP,115.3333333
16358,Tyler Mahle,TEA,SP,90.66666667
31312,Colton Gordon,HOA,SP/RP,90
31623,Jacob Misiorowski,MLN,SP,69
14120,Lance McCullers Jr.,HOA,SP/RP,58
26056,Brandon Walter,HOA,SP,56.33333333
26171,Connor Gillispie,MMN,SP,27
31475,Logan Henderson,MLN,SP,26 1/3
17732,Nabil Crismatt,ARN,SP/RP,35 2/3
23735,Luis Garcia,HOA,SP,8
20370,Bruce Zimmermann,MLN,SP,6
33568,Brandyn Garcia,SEA/ARN,RP,15
19804,Bryan Baker,BAA/TBA,RP,72
29633,Andrew Hoffmann,KCA/ARN,RP,12 1/3
25327,Abner Uribe,MLN,RP,79
21345,Bennett Sousa,HOA,RP,53
13607,Carl Edwards Jr.,LAA/TEA,RP,6
27695,Brian Van Belle,TBA,RP,8 2/3
20827,Michael Petersen,ATN/MMN,RP,18 2/3
30161,Carlos Rodriguez,MLN,RP,10
22113,Cole Winn,TEA,RP,43 2/3
25873,Connor Thomas,MLN,RP,5 1/3
22176,Easton McGee,MLN,RP,15 1/3
27626,Eric Orze,TBA,RP,43 2/3
23324,Freddy Tarnok,MMN,RP,7 2/3
16631,Jeff Brigham,ARN,RP,3 1/3
19205,Jesse Scholtens,TBA,RP,8 2/3
24590,John Rooney,HOA,RP,1 1/3
19586,Forrest Whitley,HOA/TBA,RP,12 1/3
26203,Andrew Saalfrank,ARN,RP,30 1/3
25957,Josh Simpson,MMN,RP,32
27271,Juan Burgos,SEA/ARN,RP,13 2/3
15514,Kendall Graveman,ARN,RP,18 1/3
30206,Christian Montes De Oca,ARN,RP,2 2/3
27662,Christian Roa,MMN,RP,3
31884,Logan VanWey,HOA,RP,11
15256,Cole Sulser,TBA,RP,23 2/3
24710,Luis Curvelo,TEA,RP,19 2/3
33248,Craig Yoho,MLN,RP,9
27974,Cristian Mena,ARN,RP,6 2/3
22288,Mason Englert,TBA,RP,46 2/3
29770,Mason Montgomery,TBA,RP,48
20379,Tyler Zuber,NYN/MMN,RP,12 1/3
19281,Nick Hernandez,HOA,RP,11
21863,George Soriano,MMN,RP,38 1/3
29564,Patrick Monteverde,MMN,RP,3 2/3
33821,Phillip Abner,ARN,RP,3 2/3
19835,Gerson Garabito,TEA,RP,8 1/3
20546,Grant Anderson,MLN,RP,73
26259,Hunter Bigge,TBA,RP,15 2/3
24094,Ronny Henriquez,MMN,RP,76 1/3
21212,J.P. France,HOA,RP,4
18674,Jake Woodford,ARN,RP,38
30016,Joe Rock,TBA,RP,8
24591,Joey Gerber,TBA,RP,4 1/3
16128,John Curtiss,ARN,RP,38 1/3
21924,Juan Morillo,ARN,RP,36
29615,Kyle Backhus,ARN,RP,26 1/3
20515,Kyle Nelson,ARN,RP,2
23811,Luarbert Arias,MMN,RP,10 2/3
25839,Luis Contreras,HOA,RP,12 1/3
26353,Marc Church,TEA,RP,4 2/3
26344,Taylor Rashi,ARN,RP,17
26285,Tommy Henry,ARN,RP,6 2/3
27932,Ian Seymour,TBA,RP/SP,59 2/3
13050,Anthony DeSclafani,ARN,RP/SP,40 1/3
31764,AJ Blubaugh,HOA,RP/SP,33 1/3
31815,Cade Gibson,MMN,RP/SP,57 1/3
19736,Caleb Boushley,TEA,RP/SP,45 1/3
26482,Jayden Murray,HOA,RP/SP,12
19222,Lake Bachar,MMN,RP/SP,74 1/3
15094,Rob Zastryzny,MLN,RP/SP,23
13580,Steven Okert,HOA,RP/SP,75
20629,Tyler Phillips,MMN,RP/SP,81 1/3
26136,Austin Pope,ARN,RP,2
9174,Casey Kelly,ARN,RP,1 2/3
27481,Cole Wilcox,TBA,RP,1
26260,Drey Jameson,ARN,RP,3
27583,Garrett Acton,TBA,RP,1
13190,Jordan Weems,HOA,RP,4 1/3
27984,Jose Corniell,TEA,RP,1 2/3
