FanGraph ID,Player,CBLCard,CBLPos,CBL5Percent,,
30031,"Aguiar, Julian",CIN,SP,33    ,,
18694,"Allard, Kolby",PHN,SP/RP,28 1/3,,
25582,"Basso, Brady",OAA,SP/RP,23 1/3,,
14361,"Blach, Ty",CON,SP/RP,74 2/3,,
30171,"Black, Mason",SFN,SP/RP,38    ,,
26419,"Blalock, Bradley",CON,SP/RP,32    ,,
12272,"Brooks, Aaron",OAA,SP/RP,28    ,,
23335,"Cantillo, Joey",CLA,SP/RP,40 1/3,,
16401,"Chirinos, Yonny",MMN,SP,31 1/3,,
6562,"Cobb, Alex",CLA,SP,17    ,,
27582,"Daniel, Davis",LAA,SP,31 2/3,,
21212,"France, J.P.",HOA,SP,26 1/3,,
21844,"Garrett, Braxton",MMN,SP,38 2/3,,
29812,"Gasser, Robert",MLN,SP,29 1/3,,
15467,"Gonzales, Marco",PIN,SP,35 1/3,,
27669,"Gordon, Tanner",CON,SP,36    ,,
22207,"Hall, DL",MLN,SP/RP,45    ,,
26285,"Henry, Tommy",ARN,SP/RP,40    ,,
19206,"Hudson, Dakota",CON,SP,93 1/3,,
20369,"Manning, Matt",DEA,SP,29    ,,
20038,"McCaughan, Darren",MMN,SP/RP,44    ,,
16269,"Means, John",BAA,SP,21 2/3,,
21649,"Medina, Luis",OAA,SP,42    ,,
29833,"Nastrini, Nick",CHA,SP/RP,37 1/3,,
20132,"Oller, Adam",MMN,SP,44 1/3,,
20629,"Phillips, Tyler",PHN,SP/RP,38 1/3,,
18769,"Poteet, Cody",NYA,SP/RP,25 1/3,,
29514,"Ryan, River",LAN,SP,21 1/3,,
19680,"Sanchez, Sixto",MMN,SP/RP,37 1/3,,
13273,"Stripling, Ross",OAA,SP/RP,89 1/3,,
22092,"Tyler, Kyle",MMN,SP/RP,33    ,,
27691,"Varland, Louie",MNA,SP/RP,52    ,,
11836,"Walker, Taijuan",PHN,SP/RP,87 2/3,,
20191,"Whitlock, Garrett",BOA,SP,19    ,,
23499,"Winn, Keaton",SFN,SP,58    ,,
13781,"Wood, Alex",OAA,SP,41    ,,
18674,"Woodford, Jake",PIN,SP/RP,36 2/3,,
31204,"Wrobleski, Justin",LAN,SP/RP,38    ,,
13801,"Adams, Austin",OAA,RP,43 1/3,,
10591,"Alexander, Scott",OAA,RP,40 1/3,,
18555,"Allen, Logan",ARN,RP,29 1/3,,
17859,"Alzolay, Adbert",CHN,RP,18    ,,
6895,"Anderson, Chase",TEA,RP/SP,61    ,,
20546,"Anderson, Grant",TEA,RP,28    ,,
16201,"Anderson, Justin",CHA,RP,56    ,,
18337,"Anderson, Nick",KCA,RP,37 1/3,,
12857,"Armstrong, Shawn",CHN,RP/SP,70    ,,
19804,"Baker, Bryan",BAA,RP,24 1/3,,
14993,"Barlow, Scott",CLA,RP,57 2/3,,
12323,"Barnes, Jacob",WAN,RP,69    ,,
20206,"Baumann, Mike",MMN,RP,61    ,,
20997,"Bazardo, Eduard",SEA,RP,29    ,,
19742,"Bender, Anthony",MMN,RP,55 1/3,,
16835,"Bernardino, Brennan",BOA,RP/SP,53 1/3,,
19866,"Bielak, Brandon",OAA,RP,31    ,,
21267,"Bird, Jake",CON,RP,42    ,,
16427,"Blewett, Scott",MNA,RP,21 1/3,,
23265,"Bolton, Cody",SEA,RP,19 1/3,,
16061,"Booser, Cam",BOA,RP,44 2/3,,
13528,"Bowman, Matt",BAA,RP/SP,32    ,,
12777,"Brebbia, John",ATN,RP,58    ,,
12997,"Brewer, Colten",CHN,RP,21 2/3,,
25386,"Brito, Jhony",SDN,RP,45 2/3,,
17968,"Burke, Brock",LAA,RP/SP,35 2/3,,
17536,"Burr, Ryan",TOA,RP/SP,34    ,,
30085,"Casparius, Ben",LAN,RP,8 2/3,,
12988,"Chafin, Andrew",TEA,RP,59    ,,
13767,"Chargois, JT",SEA,RP,38    ,,
26790,"Chivilli, Angel",CON,RP,33    ,,
15288,"Cimber, Adam",LAA,RP,25 1/3,,
